material,weight_kg,transport_mode,transport_distance_km,manufacturing_intensity,material_co2,manufacturing_co2,transport_co2,total_co2_kg,material_encoded,transport_encoded,intensity_encoded
Lentils,5.634,SEA,17375.7,LOW,5.071,1.69,1.469,8.473,16,3,1
Milk,1.344,ROAD,2137.7,HIGH,2.554,3.293,0.345,6.052,18,2,0
Milk,0.419,SEA,11510.3,MEDIUM,0.796,0.44,0.072,1.296,18,3,2
Wheat,2.071,ROAD,1926.7,MEDIUM,2.899,2.174,0.479,5.712,32,2,2
Rice,4.573,RAIL,1174.1,LOW,18.291,1.829,0.134,21.141,26,1,1
Wood,1.952,SEA,19110.2,MEDIUM,0.976,2.343,0.56,3.536,33,3,2
Bananas,5.695,ROAD,599.0,MEDIUM,3.986,4.271,0.409,8.582,2,2,2
Wood,1.989,ROAD,197.0,HIGH,0.995,5.569,0.047,6.721,33,2,0
Bananas,12.104,ROAD,518.8,LOW,8.473,3.026,0.753,11.972,2,2,1
Tomatoes,1.546,AIR,5675.7,MEDIUM,3.246,1.391,8.335,13.499,30,0,2
Corn,4.776,RAIL,1981.8,HIGH,5.254,11.701,0.237,16.596,8,1,0
Beans,0.877,AIR,13783.7,LOW,0.877,0.263,11.483,12.615,3,0,1
Leather,5.962,AIR,5078.2,HIGH,101.348,41.732,28.761,165.584,15,0,0
Beef,1.787,RAIL,450.8,MEDIUM,48.242,3.216,0.02,52.806,4,1,2
Chicken,4.276,SEA,13480.0,LOW,29.507,2.138,0.865,30.471,7,3,1
Beans,0.795,AIR,10888.8,LOW,0.795,0.239,8.229,10.017,3,0,1
Lentils,1.156,ROAD,1653.4,LOW,1.041,0.347,0.229,1.63,16,2,1
Aluminum,1.241,SEA,14962.8,MEDIUM,10.177,4.654,0.279,15.979,0,3,2
Wood,0.097,ROAD,1659.0,HIGH,0.048,0.271,0.019,0.321,33,2,0
Wood,0.127,RAIL,2815.3,MEDIUM,0.064,0.153,0.009,0.225,33,1,2
Butter,0.512,SEA,19199.6,MEDIUM,6.148,0.692,0.148,7.147,5,3,2
Wheat,1.532,RAIL,2785.8,LOW,2.145,0.536,0.107,2.686,32,1,1
Aluminum,0.629,SEA,6401.1,HIGH,5.156,5.501,0.06,9.576,0,3,0
Beef,1.889,SEA,16892.8,HIGH,50.997,7.933,0.479,55.136,4,3,0
Eggs,5.81,SEA,18454.4,MEDIUM,27.888,7.844,1.608,34.762,10,3,2
Cheese,0.377,ROAD,1121.1,HIGH,5.094,1.321,0.051,6.535,6,2,0
Lettuce,0.988,SEA,15989.5,HIGH,0.89,1.73,0.237,2.869,17,3,0
Leather,0.588,RAIL,2529.7,MEDIUM,9.994,1.764,0.037,12.469,15,1,2
Corn,0.461,RAIL,2252.0,HIGH,0.507,1.129,0.026,1.697,8,1,0
Rice,0.799,AIR,12698.5,LOW,3.197,0.32,9.642,13.34,26,0,1
Steel,2.946,SEA,16393.7,HIGH,8.249,18.561,0.724,27.211,28,3,0
Polyester,1.352,SEA,12413.2,MEDIUM,8.382,3.042,0.252,12.438,23,3,2
Wheat,0.235,SEA,6307.7,MEDIUM,0.329,0.247,0.022,0.602,32,3,2
Bananas,1.03,ROAD,2259.0,LOW,0.721,0.258,0.279,1.2,2,2,1
Butter,4.284,ROAD,799.2,LOW,51.406,1.928,0.411,55.407,5,2,1
Cheese,0.917,SEA,5057.3,HIGH,12.376,3.209,0.07,15.887,6,3,0
Aluminum,1.018,ROAD,873.9,HIGH,8.345,8.905,0.107,17.811,0,2,0
Leather,1.102,SEA,6027.6,HIGH,18.728,7.712,0.1,27.114,15,3,0
Chicken,1.299,ROAD,224.3,MEDIUM,8.962,1.948,0.035,11.11,7,2,2
Lettuce,1.046,SEA,8401.0,LOW,0.941,0.261,0.132,1.259,17,3,1
Glass,1.239,ROAD,1463.3,LOW,1.115,0.743,0.218,1.97,13,2,1
Beans,1.013,RAIL,811.8,MEDIUM,1.013,0.912,0.021,1.939,3,1,2
Wool,4.001,AIR,14516.5,HIGH,41.612,19.605,55.178,119.977,34,0,0
Paper,4.789,SEA,18091.3,MEDIUM,6.226,7.184,1.3,14.322,21,3,2
Fish_Wild,0.172,ROAD,926.9,LOW,0.498,0.069,0.019,0.577,12,2,1
Corn,0.751,RAIL,4410.9,LOW,0.826,0.263,0.083,1.18,8,1,1
Butter,1.454,ROAD,152.3,HIGH,17.454,4.582,0.027,21.876,5,2,0
Beef,0.683,ROAD,1817.0,MEDIUM,18.454,1.23,0.149,19.869,4,2,2
Paper,2.266,ROAD,2643.0,LOW,2.946,1.133,0.719,4.952,21,2,1
Glass,0.064,SEA,11518.9,HIGH,0.058,0.27,0.011,0.351,13,3,0
Turkey,4.773,ROAD,1840.9,HIGH,52.025,16.705,1.054,70.587,31,2,0
Cheese,3.307,ROAD,438.5,MEDIUM,44.638,4.96,0.174,52.757,6,2,2
Lamb,22.312,RAIL,3083.1,HIGH,535.492,93.711,1.72,625.374,14,1,0
Cotton,0.78,RAIL,214.0,LOW,4.291,0.507,0.004,4.43,9,1,1
Aluminum,1.266,SEA,14161.7,MEDIUM,10.38,4.747,0.269,13.804,0,3,2
Pork,6.625,AIR,12833.1,HIGH,80.16,25.505,80.766,187.56,24,0,0
Lettuce,6.058,ROAD,1562.4,HIGH,5.452,10.601,1.136,16.693,17,2,0
Paper,0.821,ROAD,1618.2,HIGH,1.068,2.874,0.159,4.277,21,2,0
Pork,1.159,ROAD,2791.8,MEDIUM,14.027,1.913,0.388,16.42,24,2,2
Milk,4.471,ROAD,1843.3,LOW,8.495,1.565,0.989,10.949,18,2,1
Nuts,1.962,ROAD,387.7,MEDIUM,4.512,2.06,0.091,6.458,19,2,2
Lettuce,0.125,SEA,11284.2,LOW,0.112,0.031,0.021,0.159,17,3,1
Lettuce,0.221,ROAD,1267.4,LOW,0.199,0.055,0.034,0.275,17,2,1
Wood,6.763,AIR,10269.2,MEDIUM,3.381,8.115,65.975,70.754,33,0,2
Paper,5.175,ROAD,405.6,MEDIUM,6.727,7.762,0.252,14.952,21,2,2
Oats,1.768,SEA,5175.6,MEDIUM,2.829,1.857,0.137,4.644,20,3,2
Lamb,1.413,ROAD,179.0,MEDIUM,33.913,2.544,0.03,33.054,14,2,2
Tomatoes,8.19,AIR,7036.1,HIGH,17.2,17.2,54.747,88.519,30,0,0
Shrimp,0.68,ROAD,2592.1,HIGH,12.232,3.092,0.211,15.404,27,2,0
Apples,0.541,ROAD,2290.1,LOW,0.216,0.135,0.149,0.446,1,2,1
Beef,0.182,ROAD,2131.5,HIGH,4.919,0.765,0.047,6.066,4,2,0
Apples,1.217,SEA,18351.5,LOW,0.487,0.304,0.335,1.057,1,3,1
Cheese,2.167,SEA,5100.7,MEDIUM,29.25,3.25,0.166,29.21,6,3,2
Rice,0.219,ROAD,1837.0,LOW,0.875,0.087,0.048,0.97,26,2,1
Lamb,0.535,SEA,19580.4,MEDIUM,12.836,0.963,0.157,14.055,14,3,2
Lentils,3.176,SEA,5584.9,LOW,2.858,0.953,0.266,4.078,16,3,1
Rice,1.209,SEA,18501.2,LOW,4.834,0.483,0.335,6.105,26,3,1
Bananas,2.198,ROAD,2952.8,LOW,1.539,0.549,0.779,2.996,2,2,1
Fish_Wild,0.25,ROAD,504.7,LOW,0.726,0.1,0.015,0.794,12,2,1
Apples,0.887,ROAD,1100.7,MEDIUM,0.355,0.666,0.117,1.099,1,2,2
Eggs,0.363,RAIL,2877.0,HIGH,1.742,1.143,0.026,2.785,10,1,0
Cotton,0.455,ROAD,1897.4,LOW,2.503,0.296,0.104,2.937,9,2,1
Fish_Wild,0.558,SEA,16887.8,LOW,1.62,0.223,0.141,2.09,12,3,1
Eggs,1.825,ROAD,2725.5,HIGH,8.761,5.75,0.597,15.044,10,2,0
Rice,2.236,ROAD,2616.4,LOW,8.942,0.894,0.702,10.785,26,2,1
Beef,0.73,ROAD,1427.0,MEDIUM,19.719,1.315,0.125,21.239,4,2,2
Aluminum,1.42,RAIL,2520.4,HIGH,11.642,12.423,0.089,22.738,0,1,0
Beef,3.553,SEA,12669.1,MEDIUM,95.926,6.395,0.675,99.262,4,3,2
Fish_Wild,6.908,ROAD,1741.9,MEDIUM,20.035,8.29,1.444,29.267,12,2,2
Paper,0.313,SEA,9678.5,HIGH,0.407,1.095,0.045,1.622,21,3,0
Steel,27.11,RAIL,291.8,HIGH,75.907,170.791,0.198,249.27,28,1,0
Oats,24.232,ROAD,2468.4,LOW,38.772,8.481,7.178,55.683,20,2,1
Lentils,2.125,ROAD,2972.1,LOW,1.913,0.638,0.758,3.594,16,2,1
Nuts,0.867,AIR,11592.3,LOW,1.994,0.303,9.548,12.353,19,0,1
Cotton,2.048,ROAD,358.0,LOW,11.262,1.331,0.088,12.773,9,2,1
Apples,1.356,ROAD,244.7,LOW,0.542,0.339,0.04,0.887,1,2,1
Wool,6.148,ROAD,68.0,HIGH,63.938,30.125,0.05,102.961,34,2,0
Fish_Farmed,0.698,ROAD,764.6,LOW,3.561,0.314,0.064,4.006,11,2,1
Polyester,1.358,SEA,8485.8,LOW,8.423,1.019,0.173,9.273,23,3,1
Glass,0.64,SEA,5330.4,HIGH,0.576,2.687,0.051,3.236,13,3,0
Cotton,0.28,AIR,4790.2,LOW,1.54,0.182,1.274,3.035,9,0,1
Beans,0.05,ROAD,1893.1,LOW,0.05,0.015,0.011,0.077,3,2,1
Potatoes,0.08,SEA,9547.9,LOW,0.04,0.02,0.011,0.078,25,3,1
Corn,0.412,ROAD,850.7,HIGH,0.453,1.009,0.042,1.51,8,2,0
Tomatoes,0.716,ROAD,210.3,LOW,1.504,0.215,0.018,1.702,30,2,1
Turkey,3.85,ROAD,2692.4,MEDIUM,41.97,5.776,1.244,51.268,31,2,2
Glass,0.589,SEA,10403.5,HIGH,0.53,2.472,0.092,3.267,13,3,0
Paper,0.931,ROAD,2681.0,LOW,1.21,0.466,0.3,2.062,21,2,1
Milk,1.257,RAIL,628.6,MEDIUM,2.388,1.32,0.02,3.868,18,1,2
Tofu,0.088,ROAD,2126.4,LOW,0.177,0.035,0.023,0.233,29,2,1
Tofu,3.19,SEA,9176.6,LOW,6.381,1.276,0.439,7.95,29,3,1
Leather,0.465,SEA,16727.4,HIGH,7.899,3.253,0.117,11.865,15,3,0
Fish_Wild,2.69,ROAD,1326.6,LOW,7.801,1.076,0.428,9.247,12,2,1
Shrimp,7.575,AIR,13166.4,MEDIUM,136.348,14.771,94.748,253.622,27,0,2
Pork,11.541,SEA,18046.4,HIGH,139.648,44.433,3.124,181.387,24,3,0
Butter,3.686,ROAD,921.1,HIGH,44.234,11.611,0.407,53.238,5,2,0
Shrimp,1.946,ROAD,1758.6,MEDIUM,35.034,3.795,0.411,38.574,27,2,2
Bananas,5.488,ROAD,1654.2,LOW,3.841,1.372,1.089,6.466,2,2,1
Wood,1.253,ROAD,1242.7,LOW,0.627,0.501,0.187,1.249,33,2,1
Lamb,1.503,ROAD,2892.3,HIGH,36.061,6.311,0.521,42.925,14,2,0
Cotton,5.838,ROAD,1587.8,MEDIUM,32.107,11.383,1.112,42.99,9,2,2
Rice,0.66,SEA,10516.0,LOW,2.639,0.264,0.104,3.028,26,3,1
Plastic,1.863,SEA,10576.1,LOW,6.521,1.49,0.296,8.95,22,3,1
Pork,3.685,ROAD,1224.1,MEDIUM,44.588,6.08,0.541,52.943,24,2,2
Wool,2.398,ROAD,1446.5,HIGH,24.935,11.748,0.416,37.378,34,2,0
Nuts,1.978,SEA,12961.1,MEDIUM,4.549,2.077,0.384,7.019,19,3,2
Beef,0.363,SEA,7112.0,HIGH,9.812,1.526,0.039,11.027,4,3,0
Wood,0.421,RAIL,2730.9,HIGH,0.211,1.179,0.029,1.352,33,1,0
Tomatoes,0.405,SEA,18762.3,MEDIUM,0.85,0.364,0.114,1.385,30,3,2
Tomatoes,1.123,SEA,5117.6,LOW,2.359,0.337,0.086,2.803,30,3,1
Beef,1.461,SEA,16416.3,MEDIUM,39.447,2.63,0.36,41.282,4,3,2
Eggs,1.876,RAIL,3852.1,MEDIUM,9.006,2.533,0.181,11.96,10,1,2
Wood,1.344,ROAD,2598.7,LOW,0.672,0.538,0.419,1.522,33,2,1
Lettuce,0.095,ROAD,371.2,HIGH,0.086,0.167,0.004,0.264,17,2,0
Nuts,0.269,ROAD,2762.2,HIGH,0.62,0.66,0.089,1.377,19,2,0
Shrimp,2.749,ROAD,526.9,MEDIUM,49.473,5.36,0.174,55.06,27,2,2
Potatoes,0.463,ROAD,2355.0,MEDIUM,0.232,0.348,0.131,0.684,25,2,2
Butter,2.38,ROAD,2364.0,MEDIUM,28.563,3.213,0.675,34.163,5,2,2
Eggs,0.715,ROAD,2200.1,HIGH,3.434,2.254,0.189,5.558,10,2,0
Butter,0.976,ROAD,2004.2,MEDIUM,11.715,1.318,0.235,13.223,5,2,2
Paper,1.635,ROAD,1470.6,HIGH,2.125,5.721,0.288,8.384,21,2,0
Cheese,1.49,SEA,14330.6,HIGH,20.11,5.214,0.32,24.782,6,3,0
Oats,0.155,ROAD,759.2,MEDIUM,0.248,0.163,0.014,0.444,20,2,2
Nuts,0.264,AIR,2468.2,LOW,0.607,0.092,0.619,1.321,19,0,1
Butter,1.012,RAIL,2991.8,HIGH,12.139,3.187,0.076,15.93,5,1,0
Eggs,11.481,SEA,10295.8,HIGH,55.107,36.164,1.773,93.529,10,3,0
Plastic,1.128,ROAD,2478.3,MEDIUM,3.95,2.708,0.336,7.379,22,2,2
Oats,0.587,ROAD,146.8,MEDIUM,0.94,0.617,0.01,1.486,20,2,2
Rice,0.072,ROAD,2515.7,LOW,0.29,0.029,0.022,0.344,26,2,1
Apples,0.753,ROAD,1571.2,LOW,0.301,0.188,0.142,0.67,1,2,1
Tofu,1.349,ROAD,1619.5,LOW,2.698,0.54,0.262,3.616,29,2,1
Aluminum,0.685,SEA,8456.2,MEDIUM,5.62,2.57,0.087,7.853,0,3,2
Leather,7.105,ROAD,1296.8,HIGH,120.791,49.737,1.106,178.676,15,2,0
Beans,0.592,SEA,10054.5,MEDIUM,0.592,0.533,0.089,1.157,3,3,2
Fish_Farmed,0.805,ROAD,2000.0,LOW,4.105,0.362,0.193,4.992,11,2,1
Tomatoes,1.935,SEA,14426.5,MEDIUM,4.063,1.741,0.419,5.678,30,3,2
Fish_Wild,0.245,ROAD,2289.1,LOW,0.711,0.098,0.067,0.911,12,2,1
Cotton,0.596,RAIL,2354.3,LOW,3.28,0.388,0.035,3.802,9,1,1
Turkey,1.122,RAIL,3534.1,HIGH,12.231,3.927,0.099,17.717,31,1,0
Fish_Wild,1.06,ROAD,514.1,LOW,3.074,0.424,0.065,3.481,12,2,1
Lamb,0.704,ROAD,970.4,MEDIUM,16.891,1.267,0.082,19.951,14,2,2
Potatoes,4.276,AIR,12168.2,LOW,2.138,1.069,49.427,52.054,25,0,1
Chicken,0.267,ROAD,2460.5,LOW,1.841,0.133,0.079,2.016,7,2,1
Milk,0.195,ROAD,399.6,MEDIUM,0.371,0.205,0.009,0.566,18,2,2
Bananas,2.064,ROAD,1893.8,LOW,1.445,0.516,0.469,2.458,2,2,1
Butter,5.882,SEA,14373.1,HIGH,70.586,18.529,1.268,93.171,5,3,0
Fish_Farmed,1.703,SEA,7442.2,LOW,8.686,0.766,0.19,9.692,11,3,1
Lamb,0.495,SEA,14319.4,MEDIUM,11.883,0.891,0.106,12.171,14,3,2
Wheat,0.725,ROAD,893.0,LOW,1.014,0.254,0.078,1.335,32,2,1
Milk,0.894,SEA,10721.6,LOW,1.698,0.313,0.144,2.177,18,3,1
Pork,3.823,SEA,16714.9,HIGH,46.262,14.72,0.959,64.588,24,3,0
Oats,1.158,SEA,11480.3,LOW,1.853,0.405,0.199,2.393,20,3,1
Glass,1.715,SEA,19560.1,LOW,1.543,1.029,0.503,2.959,13,3,1
Wheat,10.138,ROAD,1297.0,LOW,14.194,3.548,1.578,18.727,32,2,1
Lamb,2.031,ROAD,2233.5,HIGH,48.738,8.529,0.544,55.785,14,2,0
Lentils,2.114,ROAD,277.1,LOW,1.903,0.634,0.07,2.616,16,2,1
Cheese,0.856,ROAD,1889.8,HIGH,11.55,2.994,0.194,14.538,6,2,0
Corn,8.58,SEA,13454.9,LOW,9.438,3.003,1.732,14.85,8,3,1
Lettuce,4.608,ROAD,786.1,MEDIUM,4.147,3.456,0.435,8.746,17,2,2
Oats,21.898,SEA,19085.9,LOW,35.037,7.664,6.269,46.577,20,3,1
Butter,0.291,AIR,10157.3,LOW,3.496,0.131,2.811,6.898,5,0,1
Leather,1.792,RAIL,1258.3,HIGH,30.468,12.546,0.056,44.626,15,1,0
Potatoes,0.584,ROAD,2747.9,LOW,0.292,0.146,0.193,0.626,25,2,1
Turkey,1.759,ROAD,2989.0,LOW,19.175,0.88,0.631,22.078,31,2,1
Cheese,3.335,ROAD,197.6,HIGH,45.027,11.674,0.079,53.576,6,2,0
Lettuce,0.713,SEA,5937.9,LOW,0.642,0.178,0.064,0.845,17,3,1
Wool,2.865,ROAD,1148.0,HIGH,29.791,14.036,0.395,41.238,34,2,0
Wood,1.192,ROAD,885.7,MEDIUM,0.596,1.43,0.127,2.248,33,2,2
Wool,9.029,ROAD,1588.3,HIGH,93.9,44.241,1.721,144.627,34,2,0
Fish_Wild,1.983,ROAD,843.1,LOW,5.751,0.793,0.201,7.003,12,2,1
Paper,5.47,ROAD,2509.2,MEDIUM,7.11,8.204,1.647,16.761,21,2,2
Turkey,0.928,AIR,5913.6,HIGH,10.114,3.248,5.213,16.927,31,0,0
Lentils,0.912,ROAD,817.7,LOW,0.821,0.274,0.09,1.27,16,2,1
Oats,4.256,ROAD,2071.1,HIGH,6.81,10.428,1.058,18.608,20,2,0
Leather,0.492,SEA,12725.1,HIGH,8.363,3.444,0.094,11.236,15,3,0
Eggs,1.19,RAIL,4175.0,MEDIUM,5.714,1.607,0.124,7.503,10,1,2
Potatoes,3.234,ROAD,1151.9,LOW,1.617,0.808,0.447,2.96,25,2,1
Fish_Farmed,5.917,ROAD,621.9,MEDIUM,30.177,7.988,0.442,34.476,11,2,2
Tofu,2.034,ROAD,1345.7,LOW,4.067,0.813,0.328,5.252,29,2,1
Oats,0.102,ROAD,1185.2,HIGH,0.163,0.249,0.014,0.404,20,2,0
Fish_Wild,3.468,ROAD,2378.8,LOW,10.056,1.387,0.99,12.688,12,2,1
Lettuce,0.504,ROAD,2650.9,MEDIUM,0.453,0.378,0.16,0.903,17,2,2
Wood,6.313,SEA,8178.4,HIGH,3.157,17.677,0.774,23.59,33,3,0
Chicken,0.896,SEA,10035.1,MEDIUM,6.181,1.344,0.135,7.406,7,3,2
Lentils,5.616,ROAD,1315.4,LOW,5.055,1.685,0.887,8.422,16,2,1
Wood,9.852,SEA,9913.3,LOW,4.926,3.941,1.465,10.065,33,3,1
Cotton,3.186,SEA,14084.6,LOW,17.521,2.071,0.673,22.513,9,3,1
Oats,2.523,ROAD,387.1,MEDIUM,4.037,2.649,0.117,6.788,20,2,2
Wool,1.726,ROAD,103.5,LOW,17.952,1.208,0.021,17.792,34,2,1
Beans,0.556,RAIL,1265.1,MEDIUM,0.556,0.5,0.018,1.165,3,1,2
Fish_Farmed,7.34,ROAD,2537.8,LOW,37.436,3.303,2.235,43.259,11,2,1
Plastic,0.339,RAIL,4436.3,LOW,1.185,0.271,0.038,1.478,22,1,1
Corn,0.562,AIR,8230.4,HIGH,0.618,1.377,4.393,6.173,8,0,0
Turkey,2.075,AIR,6881.1,LOW,22.615,1.037,13.563,36.174,31,0,1
Turkey,1.521,AIR,11480.1,HIGH,16.583,5.325,16.592,37.399,31,0,0
Leather,13.654,ROAD,2140.9,MEDIUM,232.117,40.962,3.508,272.675,15,2,2
Polyester,1.283,AIR,12458.4,MEDIUM,7.955,2.887,15.186,28.774,23,0,2
Turkey,1.868,ROAD,1666.7,LOW,20.358,0.934,0.374,21.038,31,2,1
Potatoes,0.418,ROAD,1880.4,MEDIUM,0.209,0.313,0.094,0.618,25,2,2
Plastic,0.376,SEA,7380.2,LOW,1.317,0.301,0.042,1.768,22,3,1
Tomatoes,12.679,RAIL,2978.3,MEDIUM,26.626,11.411,0.944,41.07,30,1,2
Lamb,14.457,SEA,8033.8,MEDIUM,346.964,26.022,1.742,370.643,14,3,2
Polyester,4.576,ROAD,604.4,LOW,28.37,3.432,0.332,31.882,23,2,1
Polyester,1.351,ROAD,2877.6,LOW,8.378,1.013,0.467,9.325,23,2,1
Wool,2.026,SEA,9042.7,LOW,21.073,1.418,0.275,23.396,34,3,1
Pork,5.739,AIR,12098.3,HIGH,69.441,22.095,65.96,161.407,24,0,0
Potatoes,0.715,AIR,11086.3,LOW,0.357,0.179,7.525,8.296,25,0,1
Wheat,1.314,SEA,11228.6,MEDIUM,1.839,1.379,0.221,3.184,32,3,2
Turkey,0.864,ROAD,1002.9,MEDIUM,9.423,1.297,0.104,10.86,31,2,2
Oats,16.056,AIR,11724.1,LOW,25.69,5.62,178.83,202.542,20,0,1
Rice,4.088,RAIL,4988.6,LOW,16.353,1.635,0.51,19.065,26,1,1
Turkey,0.453,RAIL,4480.2,LOW,4.938,0.227,0.051,4.913,31,1,1
Beef,0.478,SEA,12674.5,MEDIUM,12.907,0.86,0.091,14.63,4,3,2
Wool,5.26,ROAD,1763.8,LOW,54.703,3.682,1.113,60.482,34,2,1
Oats,1.081,ROAD,1198.2,HIGH,1.73,2.65,0.155,4.89,20,2,0
Tofu,2.563,SEA,19934.5,MEDIUM,5.126,3.076,0.766,8.026,29,3,2
Leather,1.426,RAIL,2619.2,HIGH,24.241,9.982,0.093,36.246,15,1,0
Shrimp,5.083,SEA,18875.7,HIGH,91.491,23.127,1.439,113.997,27,3,0
Tofu,6.268,ROAD,862.1,LOW,12.537,2.507,0.648,16.538,29,2,1
Plastic,0.388,ROAD,1392.8,MEDIUM,1.357,0.931,0.065,2.397,22,2,2
Oats,1.33,ROAD,2072.8,MEDIUM,2.128,1.396,0.331,3.61,20,2,2
Wool,2.791,RAIL,3005.6,LOW,29.026,1.954,0.21,31.399,34,1,1
Polyester,1.977,ROAD,1097.0,LOW,12.254,1.482,0.26,14.533,23,2,1
Glass,2.113,SEA,15360.2,HIGH,1.901,8.873,0.487,11.677,13,3,0
Plastic,2.801,ROAD,1157.6,MEDIUM,9.805,6.723,0.389,16.919,22,2,2
Paper,2.234,RAIL,2432.0,HIGH,2.904,7.819,0.136,11.304,21,1,0
Corn,1.078,ROAD,1218.1,LOW,1.186,0.377,0.158,1.646,8,2,1
Corn,2.981,ROAD,1277.8,MEDIUM,3.28,3.13,0.457,6.233,8,2,2
Apples,0.73,RAIL,559.1,LOW,0.292,0.183,0.01,0.484,1,1,1
Cheese,1.531,SEA,16974.4,MEDIUM,20.668,2.296,0.39,23.914,6,3,2
Glass,0.962,SEA,9537.2,LOW,0.866,0.577,0.138,1.667,13,3,1
Nuts,1.046,SEA,17969.9,HIGH,2.405,2.562,0.282,5.336,19,3,0
Tofu,4.578,SEA,12177.4,MEDIUM,9.156,5.494,0.836,16.648,29,3,2
Lentils,0.298,ROAD,292.7,LOW,0.268,0.089,0.01,0.382,16,2,1
Tomatoes,10.537,SEA,10457.1,MEDIUM,22.127,9.483,1.653,32.017,30,3,2
Pork,3.511,RAIL,3388.2,MEDIUM,42.483,5.793,0.297,43.62,24,1,2
Turkey,7.161,RAIL,4469.7,MEDIUM,78.053,10.741,0.8,90.207,31,1,2
Rice,0.078,ROAD,1700.8,LOW,0.312,0.031,0.016,0.394,26,2,1
Plastic,2.109,SEA,15478.0,LOW,7.382,1.687,0.49,9.434,22,3,1
Potatoes,1.231,RAIL,1042.4,LOW,0.616,0.308,0.032,0.941,25,1,1
Nuts,1.201,RAIL,4675.1,LOW,2.763,0.42,0.14,3.491,19,1,1
Potatoes,0.738,RAIL,993.5,MEDIUM,0.369,0.554,0.018,0.922,25,1,2
Wool,2.802,SEA,18906.9,HIGH,29.142,13.73,0.795,42.728,34,3,0
Glass,7.356,SEA,19083.4,HIGH,6.62,30.895,2.106,38.508,13,3,0
Lamb,6.791,ROAD,566.6,HIGH,162.996,28.524,0.462,193.845,14,2,0
Tomatoes,2.692,SEA,8948.7,LOW,5.653,0.808,0.361,6.717,30,3,1
Cheese,0.339,SEA,13315.1,MEDIUM,4.57,0.508,0.068,4.989,6,3,2
Lentils,4.459,AIR,5789.0,LOW,4.013,1.338,24.523,29.833,16,0,1
Nuts,2.761,AIR,12042.7,LOW,6.35,0.966,31.586,41.558,19,0,1
Fish_Farmed,8.555,ROAD,2127.0,MEDIUM,43.632,11.55,2.184,59.106,11,2,2
Oats,1.272,ROAD,2300.5,HIGH,2.035,3.116,0.351,6.011,20,2,0
Fish_Wild,29.727,RAIL,2647.3,LOW,86.209,11.891,1.967,101.175,12,1,1
Tofu,0.298,RAIL,4656.2,MEDIUM,0.596,0.358,0.035,1.028,29,1,2
Bananas,0.649,SEA,11985.2,MEDIUM,0.454,0.486,0.117,1.094,2,3,2
Glass,0.62,SEA,17021.7,MEDIUM,0.558,1.117,0.158,1.783,13,3,2
Beef,16.361,SEA,13346.8,HIGH,441.743,68.716,3.275,535.931,4,3,0
Tofu,1.299,SEA,16241.4,LOW,2.598,0.52,0.316,3.543,29,3,1
Glass,0.696,SEA,5451.6,HIGH,0.626,2.923,0.057,3.74,13,3,0
Polyester,3.024,SEA,14172.0,MEDIUM,18.747,6.803,0.643,26.45,23,3,2
Wheat,2.454,SEA,9224.2,MEDIUM,3.435,2.576,0.34,6.521,32,3,2
Potatoes,0.139,ROAD,2393.7,LOW,0.07,0.035,0.04,0.148,25,2,1
Wheat,0.616,ROAD,2809.7,LOW,0.863,0.216,0.208,1.206,32,2,1
Fish_Farmed,0.312,SEA,8599.8,MEDIUM,1.589,0.421,0.04,2.028,11,3,2
Tomatoes,1.826,SEA,12064.4,MEDIUM,3.835,1.644,0.33,4.94,30,3,2
Paper,4.436,ROAD,2717.9,LOW,5.766,2.218,1.447,9.816,21,2,1
Wool,0.528,ROAD,2659.5,HIGH,5.491,2.587,0.169,8.967,34,2,0
Leather,6.441,SEA,7859.1,MEDIUM,109.504,19.324,0.759,122.419,15,3,2
Eggs,7.154,SEA,16023.9,LOW,34.34,3.219,1.72,38.771,10,3,1
Turkey,4.183,ROAD,1200.9,MEDIUM,45.59,6.274,0.603,56.066,31,2,2
Tofu,3.165,ROAD,1721.5,LOW,6.33,1.266,0.654,8.332,29,2,1
Wool,8.768,RAIL,597.1,HIGH,91.182,42.961,0.131,120.517,34,1,0
Steel,0.685,ROAD,717.5,HIGH,1.919,4.318,0.059,6.217,28,2,0
Polyester,2.74,SEA,7587.9,LOW,16.989,2.055,0.312,21.37,23,3,1
Wheat,1.523,SEA,5755.2,LOW,2.133,0.533,0.131,2.86,32,3,1
Lamb,0.271,RAIL,2957.3,MEDIUM,6.503,0.488,0.02,7.054,14,1,2
Eggs,1.217,RAIL,4010.9,MEDIUM,5.839,1.642,0.122,7.659,10,1,2
Fish_Wild,0.452,AIR,8067.0,LOW,1.311,0.181,3.465,4.8,12,0,1
Aluminum,0.351,SEA,13647.1,HIGH,2.876,3.069,0.072,6.097,0,3,0
Pork,0.175,RAIL,769.5,HIGH,2.116,0.673,0.003,2.738,24,1,0
Tofu,0.894,ROAD,1252.9,LOW,1.789,0.358,0.134,2.285,29,2,1
Shrimp,3.147,ROAD,710.7,MEDIUM,56.647,6.137,0.268,62.387,27,2,2
Turkey,3.429,ROAD,276.6,HIGH,37.376,12.001,0.114,49.879,31,2,0
Cheese,0.12,ROAD,2453.3,HIGH,1.617,0.419,0.035,2.189,6,2,0
Fish_Wild,11.193,ROAD,1636.5,LOW,32.459,4.477,2.198,38.436,12,2,1
Turkey,0.39,SEA,17409.5,MEDIUM,4.247,0.584,0.102,4.835,31,3,2
